name,within,within1,lat,long
Ballygarret,Kilgobban,Knockglass,52.2208665455,-9.9211192493
Tullybeg,Ballynakill,Rinvyle,53.6010521512,-9.9875977979
Carhoobeg,Knockane,Churchtown,52.0755720346,-9.6682666429
Bunacurry,Achill,Achill,53.9783218787,-9.9721059782
Knockaraha East,Oughaval,Westport Rural,53.779039396,-9.5673479653
Inch East,Baile na BhÃ³thair,Inch,52.1475378054,-9.9697218531
Croaghnakeela Island,Moyrus,Knockboy,53.3256439956,-9.9720875881
TÃ³in an tSeanbhaile,Achill,Achill,54.0058277967,-9.9724622266
Aughabrack,Kilcatherine,Coulagh ED,51.6710952285,-9.9877224961
Drom,Gleann Beithe,Glanbehy,52.0412657537,-9.9770809243
Rusheen,Kilnanare,Kilnanare,52.1611924056,-9.6669281814
Sraheens,Achill,Doogea,53.9273978188,-9.9642320215
Moneyflugh,Kilcrohane,Castlecove,51.8366472887,-9.9700317761
DoirÃ­n na Gaoithe,An Dromaid,Derriana,51.9444768908,-9.9460249294
Rosleague,Ballynakill,Ballynakill,53.5503000524,-9.9793676756
Shanvallybeg,Ballynakill,Rinvyle,53.6183390988,-9.9882182832
Roy,Kilcommon,Rathhill,54.091817976,-9.9501094911
Tonaraha East,Kilmeena,Kilmeena,53.8180045262,-9.5662613555
Tooraskeheen,Omey,Derrylea,53.5042253364,-9.9665383254
Claggan,Achill,Doogea,53.8874432104,-9.976197032
Beheenagh,Kilgobban,Kilgobban,52.1925616755,-9.8753954824
Maghasheela,Killiney,Deelis,52.2120543198,-9.9822956427
Tomies East,Aghadoe,Muckross,52.0543978129,-9.6081583962
Glanlough Lower,Kilcrohane,Castlecove,51.7917511424,-9.9840731828
Ballynakilly Lower,Gleann Beithe,Glanbehy,52.0254109655,-9.9714875839
Meall na mBreac,An Dromaid,Derriana,51.9296235686,-9.9720182619
St Macdara's Island,Moyrus,Knockboy,53.305091822,-9.9211868125
Slievenashaska,Kilcrohane,Castlecove,51.858642614,-9.9570596702
Derreen,Achill,Doogea,53.903434986,-9.9605632489
Killeenagh,Baile na BhÃ³thair,Lack,52.1618677427,-9.9150302592
Inchinteskin,Kilcatherine,Coulagh ED,51.6730229883,-9.9815537237
Lissahane,Kilfeighny,Ballyhorgan,52.4009189915,-9.557696177
Emlagh,Baile na BhÃ³thair,Inch,52.1648160719,-9.9646562059
Tullymore,Ballynakill,Rinvyle,53.5966268918,-9.97912014
Cloonbeg,Killiney,Deelis,52.2300269766,-9.9821753965
Bartrauve,Kilmore,Belmullet,54.254193753,-9.9737344214
Coulagh,Kilcatherine,Coulagh ED,51.678773038,-9.9751528834
Bocullin,Kilmeena,Kilmeena,53.8270909369,-9.5300389406
Derreenauliff,Kilcrohane,Castlecove,51.8056212483,-9.9726599694
Kilsallagh,Nohaval,Ballyegan,52.2389289335,-9.5364798622
Gortgarriff,Kilcatherine,Kilcatherine,51.7163154549,-9.9687617699
Garryard,Galey,Gunsborough,52.4752125094,-9.533823059
Canearagh,Gleann Beithe,Glanbehy,52.0031030762,-9.9663077959
Munga,Ballindoon,Derrylea,53.4674541759,-9.9598300794
Maulin,Ballyheige,Kerryhead,52.4207124249,-9.8858589207
Inch,Baile na BhÃ³thair,Inch,52.1242946999,-9.9560205094
Dawrosmore,Ballynakill,Rinvyle,53.5626904994,-9.9616200605
Ballynakilla,Killaconenagh,Bear,51.6320898708,-9.871884997
Rinnashinnagh,Kilcommon,Muings,54.2237264761,-9.8701766927
Carrowgarve,Achill,Doogea,53.8808387334,-9.965879763
Eyeries,Kilcatherine,Kilcatherine,51.6940381711,-9.9609083429
Freaghillaun-more,Kilcummin,Turlough,53.3369805898,-9.5825259186
Attirowerty,Ballynakill,Ballynakill,53.5357345182,-9.9659992582
Corclogh,Kilcommon,Belmullet,54.2081927815,-9.9652272776
Duagh,Killiney,Deelis,52.2190047698,-9.9704162423
Pollagh,Moycullen,Moycullen,53.3133126844,-9.1342330359
Commons West,Kilcatherine,Coulagh ED,51.6678398414,-9.9693691612
Carrowbeg West,Crossboyne,Crossboyne,53.7007823334,-9.0010073142
Errisbeg West,Moyrus,Roundstone,53.3894439122,-9.9664961961
An Chorrbhuaile,An Dromaid,Derriana,51.9173844322,-9.9435038099
Knockaunroe,Killorglin,Caragh,52.0791162249,-9.9185283575
Ballynakilly Upper,Gleann Beithe,Glanbehy,52.0178454643,-9.9554865761
Derrysallagh,Tuosist,Dawros,51.8185250381,-9.6271566901
Derryherbert,Ballynakill,Rinvyle,53.5819835005,-9.9652978646
Roeillaun,Ballynakill,Rinvyle,53.5699823499,-9.9769056269
Glanlough North,Killiney,Deelis,52.2095179667,-9.9722742339
Curra,Gleann Beithe,Glanbehy,52.0469136351,-9.9594735101
Tullaghlumman More,Moyrus,Derrycunlagh,53.4319388006,-9.9593165555
Carriginane,Gleann Beithe,Lickeen,51.9723556677,-9.951860494
Neesha,Gleann Beithe,Lickeen,51.9845477843,-9.9407085868
Cartron (Lindsay),Kilmainemore,Kilmaine,53.5648649077,-9.1057309069
Ballindooganig,Ballyseedy,Ballyseedy,52.2398487736,-9.6364089209
Glen,Kilgeever,Clare Island,53.7983073497,-9.9629272283
Clonglaskan,Killaconenagh,Killaconenagh,51.639066733,-9.9651746788
Mutton Island,Moyrus,Roundstone,53.3672213415,-9.9728798448
Maum,Kilgeever,Clare Island,53.8111928846,-9.9673007824
SrÃ³n na Lochain,An Dromaid,Derriana,51.9547397338,-9.9565934849
Gowlanes East,Kilcrohane,Castlecove,51.8447126273,-9.9488106699
Fawnglass,Kilgeever,Clare Island,53.8039813485,-9.958096755
Moyrahan,Kilmore,Belmullet,54.2337426655,-9.9539256572
Ballymullen,O'Brennan,O'Brennan,52.2770397849,-9.5965646913
Gorteennaglogh,Ballynakill,Rinvyle,53.5935289654,-9.9663674655
Baunoge,Ballynakill,Ballynakill,53.5275597544,-9.9440363751
Cloghereen Upper,Killarney,Muckross,51.9968421613,-9.5031577874
Teernahillane,Killaconenagh,Coulagh ED,51.6533354778,-9.9643448967
Ardmoneel,Killorglin,Killorglin,52.0972116943,-9.7793804155
Atticonaun,Kilcommon,Belmullet,54.2098251448,-9.9450227554
Glanmore,Kilgobban,Kilgobban,52.1785767312,-9.9549630714
Aghaglasheen,Kilmore,Belmullet,54.2595989626,-9.9518180995
Keelkyle,Ballynakill,Ballynakill,53.5371495402,-9.9379170112
Muckinish,Burrishoole,Newport East,53.8796398637,-9.6252701089
Dromtine,Kilcrohane,Castlecove,51.8718056292,-9.9486000531
Carrickkildavnet,Achill,Doogea,53.8848110747,-9.953819369
Ballycullane,Baile na BhÃ³thair,Lack,52.1515986273,-9.9581060056
Pallis,Aghadoe,Lahard,52.078420368,-9.6269683688
Doohooma,Kilcommon,Rathhill,54.070787056,-9.9468996949
Ballyhorgan-Marshes,Rattoo,Ballyduff,52.4492658795,-9.6312603459
Errisbeg East,Moyrus,Roundstone,53.402215082,-9.9511741029
Faha,Gleann Beithe,Glanbehy,52.0538566476,-9.9591779043
Derreendrislagh,Kilcrohane,Castlecove,51.8075521401,-9.95547092
Carrigaha,Killiney,Deelis,52.2316638466,-9.9633422839
Achillbeg Island,Achill,Doogea,53.8660024,-9.9535508075
Scart,Killaconenagh,Curryglass,51.6673842733,-9.7914101692
Glanmane,Killiney,Deelis,52.2078566822,-9.9620281833
Ballynakilly,Gleann Beithe,Glanbehy,52.0105970832,-9.9572633542
Derry West,Kilcrohane,Castlecove,51.8272581007,-9.948589917
Derreenataggart West,Killaconenagh,Killaconenagh,51.6550959209,-9.9314589058
Commons West,Ardfert,Clogherbrien,52.3198018954,-9.7851529984
Lisduff,Killury,Killury,52.4160496262,-9.7835275529
Cahergarriff,Killaconenagh,Killaconenagh,51.6302879102,-9.954316431
Darragh South,Killone,Killone,52.7883687876,-9.0647708533
Dysert Marshes,Dysert,Drommartin,52.439022965,-9.6261717669
Fuhur,Killaconenagh,Killaconenagh,51.6233284762,-9.9515558283
Capparoe,Templenoe,Dromore,51.8639592814,-9.7209084792
Coolroe Lower,Gleann Beithe,Glanbehy,52.0399355584,-9.956810512
Capnagower,Kilgeever,Clare Island,53.8071716604,-9.9496256786
Gloragh,Kilcrohane,Sneem,51.8860976786,-9.9467645007
Meennascarty,Killiney,Deelis,52.2272982167,-9.957186737
Gortataggart,Doora,Doora,52.8456119613,-8.9350270157
Slieve West,Kilgobban,Kilgobban,52.1843346615,-9.9496938651
Fanahy,Killaconenagh,Killaconenagh,51.6494101025,-9.9486059383
Ballinclemesig,Ballyheige,Ballyheige,52.3996540702,-9.7846456982
Tooreena,Ballynakill,Rinvyle,53.5825169466,-9.9497873404
Dooniver,Achill,Achill,53.9987202105,-9.9470656111
Deelis,Killiney,Deelis,52.2241953999,-9.9523601946
Illaunnacroaghbeg,Moyrus,Knockboy,53.3397740185,-9.958109866
Letterfrack,Ballynakill,Ballynakill,53.5504331169,-9.9349718669
Inches,Kilcatherine,Kilcatherine,51.6830498006,-9.9502201127
Toorglass,Kilcommon,Belmullet,54.2003656807,-9.943446774
Ardagh,Killury,Ardagh,52.4472220571,-9.7301769973
Glannagalt,Kilgobban,Kilgobban,52.2031514203,-9.9497410091
Drumadrohid,Killone,Killone,52.803833143,-9.0421660299
Coolroe Upper,Gleann Beithe,Glanbehy,52.0317832205,-9.9463144442
Fodry,Kilballyowen,Kilballyowen,52.577412007,-9.8867422979
Cregg,Omey,Derrylea,53.5031151972,-9.938590427
Foilatrisnig,Kilgobban,Kilgobban,52.2150196099,-9.9511525169
Caheracruttera,Baile na BhÃ³thair,Lack,52.1577624022,-9.9379297145
Kilnabrack Lower,Gleann Beithe,Glanbehy,52.0622664672,-9.945598444
Disert,Killaconenagh,Killaconenagh,51.6206312528,-9.9383275185
Bofickil,Kilcatherine,Kilcatherine,51.7036535568,-9.9440861288
Inishderry,Kilcommon,Muings,54.2196836721,-9.9022125945
Gowlane,Gleann Beithe,Glanbehy,52.0408215247,-9.9362576627
Laharandota Mountain,Kilcrohane,Sheepshead,51.5574993991,-9.7906089585
Gortaneden,Kilgarrylander,Kilgarrylander,52.1935724455,-9.7807637615
Ballycrovane,Kilcatherine,Kilcatherine,51.7222824441,-9.936288194
Ballinagroun,Baile na BhÃ³thair,Lack,52.1531966188,-9.9465897082
Dooyork,Kilcommon,Rathhill,54.1062865046,-9.9279919456
Doonore South,Kilgobban,Kilgobban,52.2001698815,-9.9337091436
Creeveen,Gleann Beithe,Lickeen,52.0009184912,-9.9376395061
Mullaghglass,Ballynakill,Rinvyle,53.5892195198,-9.9307615209
Tursillagh,Ballymacelligott,O'Brennan,52.3083668025,-9.6107856296
Gleesk,Kilcrohane,Castlecove,51.8071832922,-9.9366705776
Cloonteens,Kilcummin,Kilcummin,52.1071395646,-9.5054310591
Scrallaghbeg,Kilgobban,Kilgobban,52.212325289,-9.941001838
Doonore North,Kilgobban,Kilgobban,52.2061870499,-9.9311595614
Letterdife,Moyrus,Roundstone,53.4136471736,-9.9331885056
Roeillan,Achill,Achill,53.9815481761,-9.9470547586
Slieve East,Kilgobban,Kilgobban,52.1862322282,-9.9310049685
Coomavoon,Gleann Beithe,Lickeen,52.0218149699,-9.9306020246
Com Ura,An Dromaid,Derriana,51.912768346,-9.9309084354
Lisroe,Kilcummin,Kilcummin,52.1006651883,-9.5011240124
Faunkill and the Woods,Kilcatherine,Kilcatherine,51.7123651079,-9.9354523724
Carrignafeela,O'Brennan,O'Brennan,52.2745152537,-9.6033235907
Kilnabrack Upper,Gleann Beithe,Glanbehy,52.0502147289,-9.9324209119
Ervallagh,Moyrus,Roundstone,53.3844865163,-9.9328045987
Tiduff,Ballyheige,Kerryhead,52.4123102716,-9.9298338779
Drom an Longfoirt,Gleann Beithe,Derriana,51.9655912902,-9.9065700377
Glandine,Kilgobban,Kilgobban,52.2133963949,-9.8916083754
Cappaclogh West,Kilgobban,Kilgobban,52.2240760019,-9.9416212304
Rathpoge East,Kilcolman,Milltown,52.1568867537,-9.7217939541
Currywongaun,Ballynakill,Rinvyle,53.5699460881,-9.9243463225
Tooreen More (West),Killaconenagh,Killaconenagh,51.6677225574,-9.9310317486
Derry East,Kilcrohane,Castlecove,51.828339847,-9.9308720744
Eskenacartan,Killaconenagh,Killaconenagh,51.6424608285,-9.9332004743
Drom North,Killaconenagh,Killaconenagh,51.6503270654,-9.9284085179
Reennanallagane,Gleann Beithe,Glanbehy,52.0680165971,-9.9359469765
Shanaveag,Ballynakill,Rinvyle,53.5755106936,-9.9302550638
Shanaghy,Kilmore,Belmullet,54.2383738513,-9.9299150764
Crumpane,Kilcatherine,Kilcatherine,51.6861058541,-9.9311143797
Aghamore South,Killahan,Killahan,52.3926903936,-9.7151008259
Gubnahardia,Achill,Corraun Achill,53.8756631918,-9.9333380681
Mountoven,Kilgobban,Kilgobban,52.2165694117,-9.9301151175
Knockloughra,Burrishoole,Newport West,53.9033654802,-9.6439235103
Keel,Gleann Beithe,Lickeen,52.0133595469,-9.9182425271
Curradonohoe,Killaconenagh,Killaconenagh,51.6505916159,-9.9338065199
Alt,Kilcommon,Glencastle,54.1942129656,-9.8910498144
Derreenanaryagh,Gleann Beithe,Lickeen,51.9786450118,-9.8979396683
Inch West,Galey,Gunsborough,52.463220336,-9.5526275896
Dunboy,Killaconenagh,Killaconenagh,51.6319474099,-9.9323664425
Meenaduff,Killaconenagh,Killaconenagh,51.6631108604,-9.9369213068
Bunawillin,Kilcommon,Glencastle,54.1586594903,-9.9267610182
Lomanagh South,Kilcrohane,Castlecove,51.845578185,-9.9270589288
Derreenataggart East,Killaconenagh,Killaconenagh,51.6583388387,-9.9265951965
Affouley,Galey,Gunsborough,52.4726493066,-9.5566457553
Kilbaha South,Kilballyowen,Kilballyowen,52.5620312472,-9.8961007
Caherpierce,Baile na BhÃ³thair,Lack,52.1612106685,-9.9256193276
Drom West,Killaconenagh,Killaconenagh,51.6391007559,-9.9319032578
Killinny,Moyarta,Tullig,52.6136501314,-9.7490330627
Cappaclogh East,Kilgobban,Kilgobban,52.2286195211,-9.9308932917
Derreenavurrig,Kilcrohane,Castlecove,51.8180284661,-9.9168215712
Illaunmaan,Moyrus,Skannive,53.2857746963,-9.758206174
Derrynagree,Kilcrohane,Sneem,51.8869983775,-9.9244945047
Ballynoe,Killury,Killury,52.4117538697,-9.7580716477
Dooaghs,Killorglin,Caragh,52.0888407692,-9.9205154577
Kilfeighny South,Kilfeighny,Kilfeighny,52.3609634472,-9.5519670552
Ballymacandrew North,Kilmoyly,Ballynorig,52.3840623667,-9.7592883103
Roundstone,Moyrus,Roundstone,53.3953495271,-9.924637319
Freaghillaun-beg,Kilcummin,Gorumna,53.241986041,-9.7628528309
Addergoole,Ballynakill,Ballynakill,53.54153134,-9.8946464428
Lomanagh North,Kilcrohane,Sneem,51.8617520045,-9.9217979162
Gortdirragh,Gleann Beithe,Glanbehy,52.0305884066,-9.9194491879
Knockduff,Kilcaskan,Banawn,51.8119321256,-9.5864477669
Pollacappul,Kilmore,Belmullet,54.2608259489,-9.9182208586
Ballybeg,Kilcommon,Bangor,54.1420446706,-9.7488948208
Tullaghanbaun,Kilcommon,Rathhill,54.0739535325,-9.9114310254
Drom South,Killaconenagh,Killaconenagh,51.64162862,-9.9205884555
Ballymacandrew South,Kilmoyly,Ballynorig,52.3740790767,-9.75717476
Bunanioo,Achill,Corraun Achill,53.8851737251,-9.9002799984
Ballynasare,Clogherbrien,Clogherbrien,52.2981201588,-9.758082574
Barrees,Kilcatherine,Kilcatherine,51.7163104174,-9.9145639245
Annagh Island,Annagh,Blennerville,52.2550339287,-9.7574356435
Mweewillin,Achill,Corraun Achill,53.9035432725,-9.9133189129
Cromane Upper,Killorglin,Killorglin,52.0979538582,-9.8843309714
Knockshanbo,Kilmore,Belmullet,54.2487311258,-9.9186743136
Ballincloher East,Kiltomy,Ballincloher,52.3943690686,-9.6757051187
Tooreen More (East),Killaconenagh,Killaconenagh,51.666813314,-9.9231628851
Moularostig,Kilcrohane,Castlecove,51.8430439756,-9.9121485929
Kilbaha North,Kilballyowen,Kilballyowen,52.5704919562,-9.8940762196
Glanballyma,Kilflyn,Kilflyn,52.3572780634,-9.6042753309
Derrycorrib,Kilcommon,Glencastle,54.2042120379,-9.9158710919
Lackakeely,Kilgeever,Owennadornaun,53.6525459606,-9.8920047073
Dreenagh,Ballyheige,Kerryhead,52.4240630244,-9.9073475378
Aghabeg East,Kiltomy,Kiltomy,52.4072012841,-9.6671125042
Loughnahelly,Kilcommon,Glencastle,54.1662779248,-9.9142734483
Crag,Currans,Currans,52.1916827408,-9.5326480264
Foildarrig,Killaconenagh,Killaconenagh,51.6642548874,-9.9109745967
Tullaghanduff,Kilcommon,Rathhill,54.0936846614,-9.9000452402
Scrahan,Duagh,Duagh,52.3965003182,-9.3707795911
Camp,Kilgobban,Knockglass,52.2151616168,-9.9104210879
Knockane More,Killaconenagh,Killaconenagh,51.6590880209,-9.9147640904
Barnanoraun (Moyrus),Moyrus,Bencorr,53.4908460613,-9.8886880436
Illanbelfarsad,Achill,Corraun Achill,53.9180328197,-9.9207593868
Bolinglanna,Achill,Corraun Achill,53.8817638432,-9.8749623518
Curraduff,Kilgobban,Kilgobban,52.2183719946,-9.8952550446
Toornaneaskagh,Gleann Beithe,Lickeen,51.9838155925,-9.9106199628
Killeen,Moyrus,Bencorr,53.4619892127,-9.8471126664
Bawnard,Kilcatherine,Kilcatherine,51.6982535281,-9.9191686742
Doolahig,Killorglin,Caragh,52.0754773456,-9.9166458662
Carrowkeel,Kilcommon,Glencastle,54.183138919,-9.9032835701
Barnabaun,Kilgeever,Aillemore,53.6896372788,-9.9124623622
Knockglass Beg,Kilgobban,Knockglass,52.2268475286,-9.8846441091
Inishbiggle,Kilcommon,Achill,53.9946197632,-9.9049876717
Tonakilly,Kilgobban,Knockglass,52.2303764762,-9.9209819509
Curraheen,Gleann Beithe,Glanbehy,52.0597523688,-9.9135445151
Aillenaveagh,Omey,Bencorr,53.5219369487,-9.9062189373
Killacrim,Dysert,Ennismore,52.4295861962,-9.5541897382
Cushatrower,Moyrus,Derrycunlagh,53.4287096653,-9.9033847266
Grouselodge,Kilcolman,Dunmoylan East,52.5234042109,-9.0978480913
Cloon West,Knockane,Cloon,51.9186115892,-9.892895356
Ardsheelhane West,Kilcrohane,Sneem,51.8601448973,-9.8887831736
Muingmore,Kilcommon,Glencastle,54.1519207679,-9.8901833407
Lauhir,Gleann Beithe,Caragh,52.0335241755,-9.9047476934
Gortreagh,Aghadoe,Lahard,52.0648577484,-9.6156887984
Dreenagh,Gleann Beithe,Lickeen,51.9995435151,-9.9123331708
Crovinish,Kilmeena,Kilmeena,53.8174301541,-9.6416675456
Cool,Kilgobban,Kilgobban,52.2060315537,-9.9141493296
Inishkee,Burrishoole,Newport East,53.8749724625,-9.6442805828
Barnanoraun (Omey),Omey,Bencorr,53.5032244694,-9.9153443013
Bunnahowen,Kilcommon,Glencastle,54.1896433741,-9.9130107567
Tulla Beg,Kilconly,Gullane,52.5387644652,-9.6393329354
Treangarriv,Gleann Beithe,Caragh,52.040074419,-9.9034619066
Illanbaun,Achill,Corraun Achill,53.9167271239,-9.9219710423
Derreenataggart Middle,Killaconenagh,Killaconenagh,51.6486653736,-9.9184602668
Pollranny (Sweeny),Achill,Corraun Achill,53.9304105409,-9.8928795384
Dromkerry,Kilbonane,Lahard,52.087217474,-9.6127018432
Fermoyle,Kilcrohane,Sneem,51.8886675023,-9.9038481341
Knocknahila,Kilflyn,Kilflyn,52.3385498378,-9.61942188
Derryleagh,Kilcrohane,Sneem,51.8977528215,-9.8792193669
Inchnaleega West,Kilcrohane,Sneem,51.836944697,-9.9098449189
Kilteenbane,Kilgobban,Kilgobban,52.1931929418,-9.9021323501
Devlin North,Kilgeever,Aillemore,53.6973787275,-9.9033094272
Knockaneroe,Killaconenagh,Killaconenagh,51.65373024,-9.9147207117
Lettershea,Moyrus,Bencorr,53.4827071603,-9.9018106094
Fahy,Kilcommon,Ballycroy North,54.0404770115,-9.9007519972
Inishdegil More,Kilgeever,Owennadornaun,53.6383403033,-9.9143996625
Bunglasha North,Gleann Beithe,Lickeen,52.0267825219,-9.8965905505
Kinnadoohy,Kilgeever,Aillemore,53.6833244244,-9.898220017
Maulagallane,Kilcrohane,Sneem,51.8539853374,-9.9044823535
Inchnaleega East,Kilcrohane,Sneem,51.8409459831,-9.90243789
Ballinknockane,Kilgobban,Knockglass,52.2228586546,-9.9127851546
Drombrane,Gleann Beithe,Lickeen,51.9956736008,-9.8923453961
Halfmace,Moyrus,Knockboy,53.3259539484,-9.900255312
Lack,Baile na BhÃ³thair,Lack,52.1685234963,-9.8950540813
Devlin South,Kilgeever,Aillemore,53.6923591391,-9.9010237712
Arkeen More,Moyrus,Derrycunlagh,53.4427856642,-9.9071586346
Glenderry,Ballyheige,Kerryhead,52.405297106,-9.9011714946
Caheravart,Kilcatherine,Kilcatherine,51.6956549601,-9.9141395225
Cappamore,Knockane,Curraghbeg,52.0198712456,-9.8620543186
Cametringane,Killaconenagh,Killaconenagh,51.6471836408,-9.9123842539
Kiltrellig,Kilballyowen,Kilballyowen,52.5766747158,-9.850986364
Gortmellia,Kilcommon,Cnoc na Lobhar,54.2377810257,-9.8478136682
Pollranny (Lynchaghan),Achill,Corraun Achill,53.9446558932,-9.8929294704
Treanmanagh,Gleann Beithe,Caragh,52.0514209875,-9.8956628971
Dromstabla,Knockane,Curraghbeg,52.016994997,-9.8594335471
Dooaghtry,Kilgeever,Owennadornaun,53.6565024182,-9.9055911863
Garrahies,Kilgobban,Knockglass,52.2267613499,-9.9089147387
Commons East,Kilcatherine,Kilcatherine,51.7069169004,-9.8950356396
Ballyglass,Kilmore,Belmullet,54.2608122508,-9.8982157397
Dromdoory,Knockane,Curraghbeg,52.0167213441,-9.8730102726
Bunglasha South,Gleann Beithe,Lickeen,52.0211547056,-9.9003378858
Quaybaun,Killorglin,Caragh,52.07155141,-9.8752928887
Cloontreem,Kilcatherine,Killaconenagh,51.6734413563,-9.8982463205
Tallavbaun,Kilgeever,Owennadornaun,53.6763321559,-9.8905779623
Cross,Kilgeever,Aillemore,53.7154070385,-9.9024100823
Inishdegil Beg,Kilgeever,Owennadornaun,53.6426746237,-9.9124090384
Knocknalina,Kilmore,Belmullet,54.2474307687,-9.9033086446
Knockglass,Burrishoole,Newport East,53.8970380311,-9.6073845241
Carrig,Kilcatherine,Kilcatherine,51.6951671125,-9.9103038928
Carricknaglamph Island,Kilgeever,Owennadornaun,53.6411172534,-9.906008926
Killadoon,Kilgeever,Aillemore,53.704334746,-9.8983007614
Tievebaun,Omey,Bencorr,53.5061129005,-9.8938142591
Ballintleave,Killorglin,Caragh,52.0713548901,-9.8962319667
Emlagh,Kilgeever,Emlagh,53.7528390531,-9.8892204875
Inishnee,Moyrus,Roundstone,53.3950877583,-9.8991585341
Derryvickrune,Moyrus,Derrycunlagh,53.4543845789,-9.8912839412
Gowlane,Kilcatherine,Killaconenagh,51.6972686774,-9.878375537
Glebe,Kilgeever,Louisburgh,53.7656847854,-9.8150603368
Cromane Lower,Killorglin,Killorglin,52.1178116705,-9.8972312103
Colt Island,Moyrus,Knockboy,53.3287731539,-9.9068369393
Clogherclemin,Ballymacelligott,Arabela,52.2696809869,-9.6253750555
Aghany,Kilgeever,Emlagh,53.7595209038,-9.8894384159
Crott Mountain,Oughaval,Croaghpatrick,53.7547752364,-9.6179961667
Derrynameel,Kilcommon,Glencastle,54.2050820927,-9.8930059862
Coolroe West,Aglish,Aglish,52.1060261445,-9.60570472
Glencastle,Kilcommon,Glencastle,54.1784039565,-9.8750821474
Ballinknock,Ballymacelligott,O'Brennan,52.2674301326,-9.6064502059
Knockglass More,Kilgobban,Knockglass,52.2239446419,-9.8936967999
Tullakeel,Kilcrohane,Sneem,51.8741297699,-9.8891158887
Lickeen,Gleann Beithe,Lickeen,52.0083874207,-9.8891195559
Dromaloughane,Knockane,Churchtown,52.0639028812,-9.6787503258
Cosha North,Gleann Beithe,Caragh,52.0456642706,-9.8907774879
Ballybeg,Ballymacelligott,Arabela,52.2605922714,-9.6088526073
Derrymihin West,Killaconenagh,Killaconenagh,51.6587465264,-9.8911462877
Drom East,Gleann Beithe,Lickeen,52.0161852784,-9.8920330332
Ballycrispin,Kiltallagh,Kiltallagh,52.1731492563,-9.678658735
Bunskellig,Kilcatherine,Kilcatherine,51.7232403285,-9.8919088158
Scartnamackagh,Killorglin,Caragh,52.0661656721,-9.8902399013
Carrownisky,Kilgeever,Aillemore,53.7315959209,-9.8639556183
Culfin,Ballynakill,Rinvyle,53.608762837,-9.8862900441
Dooghmakeon,Kilgeever,Emlagh,53.746341174,-9.8708122398
Scrahannagaur,Kilcrohane,Sneem,51.8442685962,-9.8884708731
Lissataggle,Currans,Currans,52.2068956381,-9.5825806606
Roonah,Kilgeever,Aillemore,53.7248687586,-9.8792568987
Commaun,Gleann Beithe,Caragh,52.0627820283,-9.8834214856
Avery Island,Moyrus,Knockboy,53.3039972056,-9.894247763
Mace,Moyrus,Knockboy,53.3235271349,-9.889808826
Corragaun,Kilgeever,Owennadornaun,53.6658745106,-9.8910874198
Barraduff,Lisselton,Urlee,52.5043754839,-9.6023517527
Dooyeher,Moyrus,Knockboy,53.3344603687,-9.890082599
Curracullenagh,Kilgobban,Kilgobban,52.2061317587,-9.877283836
Rusheens,Burrishoole,Newport East,53.8948210942,-9.6162983838
Arkeen Beg,Moyrus,Derrycunlagh,53.4409141289,-9.8910124862
Ardfert Oughter,Ardfert,Tubrid,52.3194013412,-9.7918194653
Aillenacally,Moyrus,Derrycunlagh,53.4214788892,-9.884669742
Cloonty,Kilgeever,Aillemore,53.7061955559,-9.8870122755
Cloon East,Knockane,Cloon,51.9340722299,-9.8714878483
Drumsleed,Kilcommon,Ballycroy North,54.0373302816,-9.8665324055
Letterard,Moyrus,Knockboy,53.3643013864,-9.8731705917
Cloonlaur,Kilgeever,Aillemore,53.7147762901,-9.8876947115
Inishbigger,Moyrus,Knockboy,53.3474773092,-9.8919236388
DÃºire,Gleann Beithe,Derriana,51.9579877292,-9.8826045865
Mweelin,Ballynakill,Ballynakill,53.5485792621,-9.8775308964
Cappyantanvally,Knockane,Curraghbeg,52.0239258191,-9.8763474236
Gearha,Kilcrohane,Sneem,51.8538627799,-9.8740146521
Ballynahinch,Moyrus,Bencorr,53.4648549118,-9.874985123
Fenit Within,Fenit,Ballynahaglish,52.2942113209,-9.8760993477
Oghly,Moyrus,Roundstone,53.3859422653,-9.881929112
Feenune,Kilgeever,Aillemore,53.7141094266,-9.8584922032
Rodeen,Killaconenagh,Killaconenagh,51.6684802459,-9.8798537878
Glenturk Beg,Kilcommon,Glenamoy,54.1921831032,-9.7067289291
Doovilra,Kilgeever,Owennadornaun,53.6432893397,-9.8790350502
Coolagowan,Dysert,Ennismore,52.4371141656,-9.5926047642
Glassillaun,Ballynakill,Cushkillary,53.6112401845,-9.8714842357
Cloghermore,Ballymacelligott,Arabela,52.2556118818,-9.6034570999
Muings,Kilcommon,Muings,54.2052754724,-9.8737359778
Tonregee West,Achill,Corraun Achill,53.9501889894,-9.872914117
Ballylongane,Ballyheige,Kerryhead,52.4012751201,-9.8765809343
Greenane,Killaconenagh,Bear,51.6235529517,-9.8634179204
Ard West,Moyrus,Knockboy,53.3230523297,-9.8776093732
Emlaghdauroe,Moyrus,Bencorr,53.481331578,-9.8717872481
Claggan,Kilgeever,Owennadornaun,53.6613254349,-9.8813708146
Ardsheelhane East,Kilcrohane,Sneem,51.8703178098,-9.8771386854
Lonart,Killorglin,Killorglin,52.1072314831,-9.870992833
Sixnoggins,Kilgeever,Owennadornaun,53.6746066981,-9.8704056083
Rosroe,Moyrus,Moyrus,53.4042825046,-9.8708118823
